2024-11-06 12:42:22.595 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23409-spravzhnia-istoriia-zolota.html
2024-11-06 12:42:22.706 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Таємні правила сучасного життя: Алгоритми
2024-11-06 12:42:25.263 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23408-miliony-gitlera.html
2024-11-06 12:42:25.376 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Справжня історія золота
2024-11-06 12:42:27.481 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23407-gimalai.html
2024-11-06 12:42:27.588 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Мільйони Гітлера
2024-11-06 12:42:29.560 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23406-samsara-sansara.html
2024-11-06 12:42:29.667 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Гімалаї
2024-11-06 12:42:31.702 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23397-akt-vbyvstva-rezhyserska-versiia.html
2024-11-06 12:42:31.817 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Самсара / Сансара
2024-11-06 12:42:34.437 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/23396-mezhi-svitla.html
2024-11-06 12:42:34.551 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Акт вбивства  [Режисерська версія]
2024-11-06 12:42:35.884 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/13020-garr-potter-20-rokv-po-tomu-povernennya-do-govortsu.html
2024-11-06 12:42:36.018 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Межі світла
2024-11-06 12:42:38.453 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/13019-ochima-vorrena-baffeta.html
2024-11-06 12:42:38.621 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Гаррі Поттер 20 років по тому: Повернення до Гоґвортсу
2024-11-06 12:42:41.366 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12979-sobor-svyatogo-petra-ta-patrarsh-bazilki-rimu.html
2024-11-06 12:42:41.467 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Очима Воррена Баффета
2024-11-06 12:42:42.950 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12903-velike-zbrannya-slonv.html
2024-11-06 12:42:43.067 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Собор святого Петра та патріарші базиліки Риму
2024-11-06 12:42:45.747 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12901-svt-prirodi-sovi-poza-magyeyu.html
2024-11-06 12:42:45.851 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Велике зібрання слонів
2024-11-06 12:42:47.480 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12894-ti-proti-dikoyi-prirodi-vizhivannya-v-holod.html
2024-11-06 12:42:47.586 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Світ природи: Сови. Поза магією
2024-11-06 12:42:49.047 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12887-bagamsk-ostrovi-tayemnich-pecheri-zatonul-korabl.html
2024-11-06 12:42:49.158 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Ти проти дикої природи: Виживання в холоді
2024-11-06 12:42:51.585 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12885-karibsk-ostrovi-zanurennya-z-akulami.html
2024-11-06 12:42:51.701 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Багамські острови: Таємничі печери і затонулі кораблі
2024-11-06 12:42:53.929 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12879-2040-maybutnye-chekaye.html
2024-11-06 12:42:54.034 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: Карибські острови: Занурення з акулами
2024-11-06 12:42:56.233 | INFO     | uakino_data_scraper.spiders.detail_info_spider:start_requests:30 - Обробка URL: https://uakino.me/filmy/documentaries/12869-vsesvtnya-prirodna-spadschina-ssha-yelloustounskiy-naconalniy-park.html
2024-11-06 12:42:56.353 | INFO     | uakino_data_scraper.spiders.detail_info_spider:parse:61 - Зібрано інформацію про фільм: 2040: Майбутнє чекає
